"","name","year","uservotes","rating"
"1","The Lord of the Rings: The Return of the King","(2003)","1,778,727","9.0"
"2","Inception","(2010)","2,271,510","8.8"
"3","The Lord of the Rings: The Two Towers","(2002)","1,606,520","8.8"
"4","The Lord of the Rings: The Fellowship of the Ring","(2001)","1,799,961","8.8"
"5","Il buono, il brutto, il cattivo","(1966)","743,054","8.8"
"6","The Empire Strikes Back","(1980)","1,251,738","8.7"
"7","Everything Everywhere All at Once","(2022)","55,489","8.6"
"8","Interstellar","(2014)","1,731,718","8.6"
"9","Sen to Chihiro no kamikakushi","(2001)","732,906","8.6"
"10","Star Wars","(1977)","1,323,278","8.6"
"11","Gladiator","(2000)","1,454,955","8.5"
"12","The Lion King","(1994)","1,025,171","8.5"
"13","Back to the Future","(1985)","1,161,428","8.5"
"14","Spider-Man: Into the Spider-Verse","(2018)","491,023","8.4"
"15","Avengers: Endgame","(2019)","1,053,572","8.4"
"16","Avengers: Infinity War","(2018)","1,015,614","8.4"
"17","Coco","(I) (2017)","477,747","8.4"
"18","Spider-Man: No Way Home","(2021)","634,116","8.4"
"19","WALL·E","(2008)","1,084,604","8.4"
"20","Mononoke-hime","(1997)","382,389","8.4"
"21","Aliens","(1986)","699,983","8.4"
"22","Raiders of the Lost Ark","(1981)","944,016","8.4"
"23","Up","(2009)","1,014,590","8.3"
"24","Toy Story 3","(2010)","814,214","8.3"
"25","Inglourious Basterds","(2009)","1,395,468","8.3"
"26","Toy Story","(1995)","964,243","8.3"
"27","Star Wars: Episode VI - Return of the Jedi","(1983)","1,022,535","8.3"
"28","2001: A Space Odyssey","(1968)","652,094","8.3"
"29","Lawrence of Arabia","(1962)","288,196","8.3"
"30","North by Northwest","(1959)","321,785","8.3"
"31","Inside Out","(I) (2015)","688,414","8.2"
"32","Kimetsu no Yaiba: Mugen Ressha-Hen","(2020)","52,448","8.2"
"33","Hauru no ugoku shiro","(2004)","379,730","8.2"
"34","Finding Nemo","(2003)","1,017,829","8.2"
"35","Jurassic Park","(1993)","946,330","8.2"
"36","Indiana Jones and the Last Crusade","(1989)","738,626","8.2"
"37","Monty Python and the Holy Grail","(1975)","531,775","8.2"
"38","Dersu Uzala","(1975)","28,318","8.2"
"39","The Great Escape","(1963)","240,857","8.2"
"40","The Bridge on the River Kwai","(1957)","217,346","8.2"
"41","Le salaire de la peur","(1953)","60,121","8.2"
"42","The Treasure of the Sierra Madre","(1948)","123,193","8.2"
"43","The General","(1926)","89,964","8.2"
"44","The Gold Rush","(1925)","109,787","8.2"
"45","Klaus","(2019)","142,119","8.1"
"46","Bajrangi Bhaijaan","(2015)","85,130","8.1"
"47","Queen","(2013)","65,129","8.1"
"48","The Grand Budapest Hotel","(2014)","781,516","8.1"
"49","Mad Max: Fury Road","(2015)","969,954","8.1"
"50","Harry Potter and the Deathly Hallows: Part 2","(2011)","846,726","8.1"
